Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
MAZDA,MAZDA6 TURBO,MID-SIZE,2.5,4.0,AS6,X,10.0,7.5,8.9,32.0,208.0
FORD,ESCAPE AWD,SUV - SMALL,2.0,4.0,AS6,X,11.2,8.5,10.0,28.0,230.0
HYUNDAI,SONATA,FULL-SIZE,2.0,4.0,AS6,X,10.4,7.4,9.1,31.0,209.0
FIAT,500 HATCHBACK,MINICOMPACT,1.4,4.0,A6,X,8.7,7.1,8.0,35.0,186.0
CHEVROLET,SONIC 5 RS,STATION WAGON - SMALL,1.4,4.0,AS6,X,9.5,7.1,8.4,34.0,195.0
BMW,M8 CABRIOLET,SUBCOMPACT,4.4,8.0,AS8,Z,16.0,11.0,13.8,20.0,322.0
MITSUBISHI,OUTLANDER 4WD,SUV - SMALL,2.4,4.0,AV6,X,9.7,8.1,9.0,31.0,207.0
BMW,750LI XDRIVE,FULL-SIZE,4.4,8.0,A8,Z,15.0,9.8,12.7,22.0,292.0
TOYOTA,TACOMA 4WD,PICKUP TRUCK - SMALL,2.7,4.0,M5,X,12.4,11.4,11.9,24.0,279.0
KIA,RONDO,STATION WAGON - MID-SIZE,2.0,4.0,AS6,X,10.1,7.6,9.0,31.0,214.0
TOYOTA,CAMRY HYBRID LE,MID-SIZE,2.5,4.0,AV,X,5.5,6.0,5.7,50.0,134.0
MINI,COOPER CLUBMAN ALL4,MID-SIZE,1.5,3.0,AS8,Z,10.2,7.6,9.0,31.0,212.0
MINI,COOPER S ROADSTER,TWO-SEATER,1.6,4.0,AS6,Z,9.2,6.8,8.1,35.0,186.0
MAZDA,MAZDA3 5-DOOR (I-ELOOP),MID-SIZE,2.5,4.0,AS6,X,8.7,6.6,7.8,36.0,181.0
JEEP,COMPASS,SUV - SMALL,2.0,4.0,M5,X,10.3,7.9,9.3,30.0,216.0
LINCOLN,NAUTILUS AWD,SUV - SMALL,2.0,4.0,AS8,X,12.0,9.6,10.7,26.0,250.0
JEEP,WRANGLER JL 4X4,SUV - SMALL,3.6,6.0,M6,X,13.7,9.6,11.8,24.0,277.0
BMW,M3,COMPACT,3.0,6.0,AM7,Z,14.0,9.7,12.1,23.0,284.0
MASERATI,LEVANTE TROFEO,SUV - STANDARD,3.8,8.0,AS8,Z,17.3,12.9,15.3,18.0,360.0
FORD,T-150 WAGON FFV,VAN - PASSENGER,3.7,6.0,AS6,X,16.8,13.2,15.2,19.0,356.0
PORSCHE,CAYENNE,SUV - STANDARD,3.6,6.0,A8,Z,13.5,9.7,11.8,24.0,277.0
HONDA,ODYSSEY,MINIVAN,3.5,6.0,A6,X,12.3,8.5,10.6,27.0,250.0
DODGE,CHARGER FFV,FULL-SIZE,3.6,6.0,A5,E,18.7,12.4,15.9,18.0,264.0
JEEP,CHEROKEE TRAILHAWK 4X4,SUV - SMALL,3.2,6.0,A9,X,12.2,9.0,10.8,26.0,253.0
HYUNDAI,ELANTRA,MID-SIZE,1.6,4.0,M6,X,10.7,7.8,9.4,30.0,221.0
DODGE,DART GT,MID-SIZE,2.4,4.0,A6,X,10.6,7.5,9.2,31.0,215.0
CADILLAC,XT5 AWD,SUV - SMALL,3.6,6.0,AS9,X,13.4,9.4,11.6,24.0,270.0
CHEVROLET,COLORADO,PICKUP TRUCK - SMALL,3.6,6.0,A6,X,13.0,9.2,11.3,25.0,265.0
MAZDA,CX-30 4WD,SUV - SMALL,2.0,4.0,AS6,X,9.4,7.7,8.6,33.0,202.0
BMW,428I XDRIVE CABRIOLET,SUBCOMPACT,2.0,4.0,AS8,Z,11.2,7.5,9.6,29.0,221.0
CHRYSLER,200 SEDAN,MID-SIZE,2.4,4.0,A4,X,11.2,8.0,9.8,29.0,225.0
BMW,328I XDRIVE TOURING,STATION WAGON - SMALL,2.0,4.0,AS8,Z,10.6,7.2,9.1,31.0,209.0
SUBARU,LEGACY AWD,FULL-SIZE,2.4,4.0,AV8,X,9.9,7.3,8.7,32.0,205.0
DODGE,CHARGER AWD,FULL-SIZE,5.7,8.0,A5,X,16.0,10.1,13.3,21.0,312.0
CHEVROLET,SUBURBAN,SUV - STANDARD,5.3,8.0,A6,X,15.1,10.4,13.0,22.0,304.0
SMART,FORTWO CABRIOLET,TWO-SEATER,1.0,3.0,AM5,Z,6.9,5.7,6.4,44.0,147.0
KIA,SOUL,STATION WAGON - SMALL,1.6,4.0,AS6,X,9.8,7.8,8.9,32.0,206.0
FORD,F-150 FFV 4X4 (PAYLOAD PKG),PICKUP TRUCK - STANDARD,5.0,8.0,AS10,E,21.4,17.2,19.5,14.0,325.0
RAM,1500 CLASSIC,PICKUP TRUCK - STANDARD,3.6,6.0,A8,X,13.9,9.6,11.9,24.0,280.0
INFINITI,Q60 AWD,SUBCOMPACT,3.7,6.0,AS7,Z,13.3,9.4,11.5,25.0,264.0
CHEVROLET,TRAVERSE,SUV - STANDARD,2.0,4.0,A9,Z,11.7,9.0,10.5,27.0,246.0
CHEVROLET,SONIC,COMPACT,1.4,4.0,M6,X,8.5,6.2,7.5,38.0,173.0
GMC,SIERRA 4WD FFV,PICKUP TRUCK - STANDARD,5.3,8.0,A6,X,15.0,10.7,13.1,22.0,306.0
HONDA,CIVIC HATCHBACK SPORT,FULL-SIZE,1.5,4.0,M6,Z,8.0,6.2,7.2,39.0,167.0
RAM,1500 4X4 FFV,PICKUP TRUCK - STANDARD,3.6,6.0,A8,X,14.5,10.2,12.6,22.0,294.0
CHEVROLET,EXPRESS 1500 PASSENGER AWD,VAN - PASSENGER,5.3,8.0,A4,E,25.3,19.3,22.6,12.0,362.0
PORSCHE,911 TURBO S CABRIOLET,MINICOMPACT,3.8,6.0,AM7,Z,13.7,9.6,11.9,24.0,278.0
CHEVROLET,TRAVERSE AWD,SUV - STANDARD,3.6,6.0,AS9,X,13.7,9.4,11.8,24.0,276.0
JAGUAR,XF,MID-SIZE,2.0,4.0,AS8,Z,12.3,8.2,10.5,27.0,242.0
JAGUAR,XFR,MID-SIZE,5.0,8.0,AS8,Z,15.7,10.3,13.2,21.0,304.0
FORD,MUSTANG,SUBCOMPACT,2.3,4.0,M6,X,11.2,7.9,9.7,29.0,226.0
BUICK,ENCORE,SUV - SMALL,1.4,4.0,AS6,X,9.5,7.2,8.5,33.0,199.0
MINI,COOPER 3 DOOR,SUBCOMPACT,1.5,3.0,M6,Z,8.5,6.2,7.5,38.0,175.0
MERCEDES-BENZ,CL 63 AMG,COMPACT,5.5,8.0,AS7,Z,15.4,11.0,13.4,21.0,308.0
BMW,X5 M,SUV - STANDARD,4.4,8.0,AS8,Z,16.6,12.1,14.6,19.0,341.0
VOLVO,S90 T6 AWD,MID-SIZE,2.0,4.0,AS8,Z,11.3,7.5,9.6,29.0,223.0
CADILLAC,XT6 AWD,SUV - SMALL,3.6,6.0,AS9,X,13.5,9.7,11.8,24.0,277.0
TOYOTA,TACOMA 4WD,PICKUP TRUCK - SMALL,2.7,4.0,AS6,X,12.7,10.5,11.7,24.0,274.0
INFINITI,QX50 AWD,SUV - SMALL,2.0,4.0,AV8,Z,10.0,7.8,9.0,31.0,211.0
HONDA,ACCORD SPORT/TOURING,MID-SIZE,2.0,4.0,AS10,X,10.4,7.4,9.1,31.0,211.0
PORSCHE,CAYENNE TURBO S,SUV - STANDARD,4.8,8.0,A8,Z,16.9,11.2,14.3,20.0,336.0
NISSAN,FRONTIER 4WD,PICKUP TRUCK - STANDARD,3.8,6.0,AS9,X,13.8,10.2,12.2,23.0,287.0
FORD,EXPLORER FFV,SUV - STANDARD,3.5,6.0,AS6,E,18.7,12.9,16.1,18.0,264.0
CADILLAC,ESCALADE ESV 4WD,SUV - STANDARD,6.2,8.0,A8,Z,16.4,11.7,14.3,20.0,329.0
GMC,YUKON DENALI XL AWD,SUV - STANDARD,6.2,8.0,A6,E,25.7,17.8,22.1,13.0,354.0
CHEVROLET,CRUZE,MID-SIZE,1.4,4.0,M6,X,9.1,6.3,7.8,36.0,179.0
INFINITI,Q70 AWD,MID-SIZE,3.7,6.0,AS7,Z,13.2,9.6,11.6,24.0,267.0
KIA,RIO,COMPACT,1.6,4.0,M6,X,8.7,6.4,7.7,37.0,177.0
ROLLS-ROYCE,CULLINAN BLACK BADGE,STATION WAGON - MID-SIZE,6.7,12.0,AS8,Z,20.1,12.1,16.5,17.0,386.0
HONDA,CIVIC SEDAN,MID-SIZE,1.5,4.0,AV,X,7.4,5.6,6.6,43.0,153.0
MERCEDES-BENZ,AMG C 63 S,COMPACT,4.0,8.0,AS7,Z,13.4,9.6,11.7,24.0,273.0
HYUNDAI,ACCENT,COMPACT,1.6,4.0,M6,X,8.2,6.3,7.3,39.0,173.0
NISSAN,NV200 CARGO VAN,SPECIAL PURPOSE VEHICLE,2.0,4.0,AV,X,10.0,8.5,9.3,30.0,214.0
AUDI,R8,TWO-SEATER,4.2,8.0,A7,Z,17.6,11.0,14.6,19.0,336.0
VOLVO,XC90 T5 AWD,SUV - STANDARD,2.0,4.0,AS8,Z,10.8,9.5,10.2,28.0,239.0
JEEP,CHEROKEE,SUV - SMALL,2.4,4.0,A9,X,10.8,7.6,9.3,30.0,219.0
MITSUBISHI,ECLIPSE CROSS,SUV - SMALL,1.5,4.0,AV8,X,9.4,8.4,8.9,32.0,208.0
GMC,CANYON,PICKUP TRUCK - SMALL,2.5,4.0,A6,X,12.1,9.2,10.8,26.0,253.0
BMW,M4 COUPE,COMPACT,3.0,6.0,AM7,Z,14.0,9.7,12.1,23.0,284.0
DODGE,CHARGER AWD (MDS),FULL-SIZE,5.7,8.0,A5,X,16.1,10.0,13.4,21.0,313.0
FORD,ECOSPORT AWD,SUV - SMALL,2.0,4.0,AS6,X,10.2,8.1,9.2,31.0,216.0
MERCEDES-BENZ,ML 350 4MATIC FFV,SUV - STANDARD,3.5,6.0,AS7,E,17.8,13.8,16.0,18.0,256.0
MASERATI,GHIBLI,MID-SIZE,3.0,6.0,AS8,Z,14.1,9.8,12.2,23.0,286.0
BENTLEY,CONTINENTAL GT CONVERTIBLE,SUBCOMPACT,6.0,12.0,AS8,Z,19.6,11.7,16.0,18.0,368.0
SUBARU,WRX STI AWD,COMPACT,2.5,4.0,M6,Z,14.3,10.7,12.7,22.0,296.0
VOLKSWAGEN,GOLF R,COMPACT,2.0,4.0,AM6,Z,10.4,7.9,9.3,30.0,216.0
MERCEDES-BENZ,AMG C 63 S CABRIOLET,SUBCOMPACT,4.0,8.0,AS7,Z,14.0,10.1,12.2,23.0,291.0
CHEVROLET,SILVERADO FFV,PICKUP TRUCK - STANDARD,5.3,8.0,A6,X,14.6,10.4,12.7,22.0,298.0
TOYOTA,HIGHLANDER AWD,SUV - STANDARD,3.5,6.0,AS6,X,13.0,9.7,11.5,25.0,264.0
BMW,340I XDRIVE,COMPACT,3.0,6.0,M6,Z,11.9,8.3,10.3,27.0,241.0
LEXUS,GS 350 AWD,MID-SIZE,3.5,6.0,AS6,Z,12.6,9.1,11.0,26.0,253.0
PORSCHE,PANAMERA TURBO EXECUTIVE,FULL-SIZE,4.0,8.0,AM8,Z,12.8,9.2,11.2,25.0,261.0
NISSAN,ARMADA 4WD,SUV - STANDARD,5.6,8.0,A5,X,19.1,13.4,16.5,17.0,380.0
HONDA,CR-Z,TWO-SEATER,1.5,4.0,M6,X,7.9,6.5,7.3,39.0,169.0
FORD,ECOSPORT AWD,SUV - SMALL,2.0,4.0,AS6,X,10.2,8.0,9.3,30.0,217.0
SUBARU,XV CROSSTREK AWD,SUV - SMALL,2.0,4.0,AV,X,9.5,7.2,8.5,33.0,196.0
KIA,OPTIMA HYBRID,MID-SIZE,2.0,4.0,AM6,X,6.0,5.1,5.6,50.0,132.0
JEEP,PATRIOT,SUV - SMALL,2.4,4.0,A6,X,11.1,8.3,9.8,29.0,225.0
LAND ROVER,RANGE ROVER EVOQUE COUPE,SUV - SMALL,2.0,4.0,AS9,Z,11.3,7.9,9.8,29.0,225.0
LINCOLN,CORSAIR AWD,SUV - SMALL,2.3,4.0,AS8,X,11.1,8.2,9.8,29.0,230.0
TOYOTA,COROLLA,MID-SIZE,1.8,4.0,M6,X,8.3,6.2,7.4,38.0,170.0
FORD,EDGE,SUV - SMALL,3.5,6.0,AS6,X,13.4,9.0,11.4,25.0,268.0
TOYOTA,AVALON,MID-SIZE,3.5,6.0,AS6,X,11.4,7.6,9.7,29.0,225.0
NISSAN,JUKE,STATION WAGON - SMALL,1.6,4.0,M6,Z,8.6,7.2,8.0,35.0,188.0
CHEVROLET,CRUZE PREMIER,COMPACT,1.4,4.0,AS6,X,8.3,6.2,7.3,39.0,172.0
LINCOLN,NAVIGATOR L 4X4,SUV - STANDARD,3.5,6.0,AS6,X,16.1,12.3,14.4,20.0,331.0
CADILLAC,ESCALADE 4WD,SUV - STANDARD,6.2,8.0,A10,Z,16.6,10.9,14.0,20.0,329.0
GMC,CANYON 4WD,PICKUP TRUCK - SMALL,2.5,4.0,A6,X,12.7,9.8,11.4,25.0,267.0
HONDA,CIVIC COUPE,COMPACT,1.5,4.0,AV,X,7.5,5.9,6.8,42.0,158.0
FORD,EDGE AWD,SUV - SMALL,2.0,4.0,A8,X,11.4,8.3,10.0,28.0,233.0
JEEP,PATRIOT 4X4,SUV - SMALL,2.4,4.0,M5,X,10.6,8.6,9.7,29.0,223.0
BMW,328D XDRIVE TOURING,STATION WAGON - SMALL,2.0,4.0,AS8,D,7.9,5.9,7.0,40.0,189.0
GMC,TERRAIN AWD,SUV - SMALL,1.5,4.0,A9,X,9.6,8.3,9.0,31.0,210.0
JAGUAR,XJR LWB,FULL-SIZE,5.0,8.0,AS8,Z,15.8,10.2,13.3,21.0,313.0
BMW,X3 XDRIVE28I,SUV - SMALL,2.0,4.0,AS8,Z,11.1,8.5,10.0,28.0,233.0
BENTLEY,BENTAYGA,SUV - STANDARD,4.0,8.0,AS8,Z,16.4,10.1,13.6,21.0,315.0
HYUNDAI,ELANTRA GT,FULL-SIZE,2.0,4.0,M6,X,9.8,7.3,8.7,32.0,205.0
CHEVROLET,IMPALA FFV,FULL-SIZE,3.6,6.0,AS6,X,12.7,8.5,10.8,26.0,254.0
TOYOTA,4RUNNER 4WD,SUV - STANDARD,4.0,6.0,AS5,X,14.3,11.1,12.9,22.0,297.0
BMW,M240I COUPE M PERFORMANCE,SUBCOMPACT,3.0,6.0,AS8,Z,11.2,7.8,9.7,29.0,227.0
INFINITI,Q50 HYBRID AWD,COMPACT,3.5,6.0,AS7,Z,9.1,7.7,8.5,33.0,200.0
LEXUS,ES 350,MID-SIZE,3.5,6.0,AS6,X,11.4,7.6,9.7,29.0,225.0
BMW,550I XDRIVE GRAN TURISMO,FULL-SIZE,4.4,8.0,AS8,Z,14.3,9.3,12.1,23.0,283.0
AUDI,A4 QUATTRO,COMPACT,2.0,4.0,AS8,Z,11.0,8.1,10.0,29.0,230.0
BENTLEY,CONTINENTAL GT CONVERTIBLE,SUBCOMPACT,4.0,8.0,AM8,Z,15.1,9.1,12.4,23.0,291.0
HYUNDAI,SANTA FE SPORT AWD,SUV - SMALL,2.0,4.0,AS6,X,12.9,9.8,11.5,25.0,264.0
CHEVROLET,TRAX 4WD,SUV - SMALL,1.4,4.0,AS6,X,9.9,8.1,9.1,31.0,214.0
VOLVO,XC70 T5,SUV - SMALL,2.0,4.0,AS8,X,10.3,7.6,9.1,31.0,213.0
MASERATI,LEVANTE GTS,SUV - STANDARD,3.8,8.0,AS8,Z,17.3,12.9,15.3,18.0,360.0
HONDA,FIT,STATION WAGON - SMALL,1.5,4.0,M6,X,8.1,6.4,7.3,39.0,168.0
TOYOTA,RAV4 AWD,SUV - SMALL,2.5,4.0,AS6,X,10.5,8.3,9.5,30.0,222.0
FORD,EXPLORER AWD (ECOBOOST),SUV - STANDARD,3.5,6.0,AS6,X,14.9,10.7,13.0,22.0,299.0
BMW,430I XDRIVE GRAN COUPE,COMPACT,2.0,4.0,AS8,Z,10.2,7.2,8.9,32.0,208.0
FORD,MUSTANG CONVERTIBLE,SUBCOMPACT,5.0,8.0,AS10,X,15.4,9.7,12.9,22.0,303.0
LEXUS,RC 350 AWD,SUBCOMPACT,3.5,6.0,AS6,Z,12.6,9.1,11.0,26.0,253.0
JAGUAR,F-TYPE CONVERTIBLE R-DYNAMIC AWD,TWO-SEATER,3.0,6.0,AS8,Z,13.0,9.2,11.3,25.0,265.0
SUBARU,IMPREZA 5-DOOR AWD,STATION WAGON - SMALL,2.0,4.0,M5,X,10.1,7.7,9.0,31.0,211.0
LINCOLN,MKZ AWD,MID-SIZE,3.0,6.0,AS6,X,14.0,9.2,11.8,24.0,278.0
FORD,F-150 FFV (LT TIRE PKG),PICKUP TRUCK - STANDARD,5.0,8.0,AS10,X,14.7,11.2,13.1,22.0,308.0
MERCEDES-BENZ,C 400 4MATIC,COMPACT,3.0,6.0,AS7,Z,11.1,8.4,9.9,29.0,228.0
CADILLAC,XTS VSPORT AWD,FULL-SIZE,3.6,6.0,AS6,Z,14.8,9.9,12.6,22.0,290.0
LAND ROVER,DISCOVERY SPORT P290,SUV - SMALL,2.0,4.0,AS9,Z,12.3,9.8,11.1,25.0,262.0
PORSCHE,911 TARGA 4,MINICOMPACT,3.4,6.0,M7,Z,12.9,9.0,11.1,25.0,261.0
RAM,PROMASTER CITY,SPECIAL PURPOSE VEHICLE,2.4,4.0,A9,X,11.2,8.3,9.9,29.0,232.0
PORSCHE,PANAMERA 4 ST,FULL-SIZE,3.0,6.0,AM8,Z,11.5,9.0,10.4,27.0,242.0
SUBARU,BRZ,MINICOMPACT,2.0,4.0,M6,Z,11.2,8.2,9.9,29.0,231.0
JEEP,PATRIOT,SUV - SMALL,2.0,4.0,M5,X,10.3,7.8,9.2,31.0,214.0
GMC,YUKON FFV,SUV - STANDARD,5.3,8.0,A6,X,15.1,10.4,13.0,22.0,305.0
NISSAN,PATHFINDER 4WD,SUV - SMALL,3.5,6.0,AV,X,12.1,8.9,10.7,26.0,251.0
LEXUS,RX 350 AWD,SUV - SMALL,3.5,6.0,AS8,X,12.2,8.9,10.7,26.0,251.0
CHEVROLET,CORVETTE ZR1,TWO-SEATER,6.2,8.0,AS8,Z,19.5,12.0,16.1,18.0,381.0
FORD,EXPEDITION 4X4,SUV - STANDARD,3.5,6.0,AS10,X,14.1,10.6,12.5,23.0,293.0
KIA,OPTIMA HYBRID,MID-SIZE,2.0,4.0,AS6,X,6.0,5.1,5.6,50.0,132.0
TOYOTA,TACOMA 4WD D-CAB OFF-ROAD,PICKUP TRUCK - SMALL,3.5,6.0,M6,X,13.8,11.7,12.9,22.0,300.0
CHRYSLER,300 AWD FFV,FULL-SIZE,3.6,6.0,A8,X,12.8,8.6,10.9,26.0,251.0
BMW,X4 M40I,SUV - SMALL,3.0,6.0,AS8,Z,11.9,8.7,10.4,27.0,245.0
JEEP,RENEGADE FFV,SUV - SMALL,2.4,4.0,A9,E,14.4,10.2,12.5,23.0,206.0
BMW,M8 CABRIOLET COMPETITION,SUBCOMPACT,4.4,8.0,AS8,Z,16.0,11.0,13.8,20.0,322.0
MERCEDES-BENZ,GLA 250 4MATIC,SUV - SMALL,2.0,4.0,AM7,Z,10.1,7.6,9.0,31.0,209.0
AUDI,A7 QUATTRO,MID-SIZE,3.0,6.0,AM7,Z,10.7,8.2,9.6,29.0,224.0
GMC,SIERRA FFV,PICKUP TRUCK - STANDARD,5.3,8.0,A6,E,22.2,16.2,19.5,14.0,326.0
HYUNDAI,ELANTRA,MID-SIZE,1.8,4.0,M6,X,8.8,6.4,7.7,37.0,180.0
MERCEDES-BENZ,A 220 4MATIC,SUBCOMPACT,2.0,4.0,AM7,Z,9.6,7.1,8.5,33.0,199.0
CHEVROLET,EQUINOX AWD FFV,SUV - SMALL,2.4,4.0,A6,E,16.3,11.6,14.2,20.0,236.0
BUICK,REGAL AWD,MID-SIZE,3.6,6.0,AS9,X,12.5,8.8,10.9,26.0,255.0
GMC,YUKON 4WD FFV,SUV - STANDARD,5.3,8.0,A6,E,21.7,14.3,18.4,15.0,305.0
CHEVROLET,CAMARO,SUBCOMPACT,3.6,6.0,AS10,X,12.5,8.1,10.5,27.0,247.0
FORD,TAURUS FFV,FULL-SIZE,3.5,6.0,AS6,E,17.8,12.1,15.2,19.0,254.0
KIA,FORTE,MID-SIZE,2.0,4.0,M6,X,9.4,6.8,8.3,34.0,195.0
INFINITI,Q50S RED SPORT,MID-SIZE,3.0,6.0,AS7,Z,11.8,8.8,10.5,27.0,247.0
TOYOTA,TACOMA,PICKUP TRUCK - SMALL,2.7,4.0,AS6,X,12.0,10.0,11.1,25.0,261.0
FORD,EDGE,SUV - SMALL,3.5,6.0,AS6,X,13.2,9.0,11.3,25.0,260.0
MERCEDES-BENZ,C 450 AMG SPORT 4MATIC,COMPACT,3.0,6.0,AS7,Z,11.1,9.6,10.4,27.0,231.0
VOLKSWAGEN,ATLAS,SUV - SMALL,2.0,4.0,AS8,X,11.6,9.1,10.5,27.0,245.0
PORSCHE,911 CARRERA 4,MINICOMPACT,3.0,6.0,AM7,Z,10.7,8.3,9.6,29.0,225.0
CHEVROLET,CAMARO ZL1,SUBCOMPACT,6.2,8.0,M6,Z,17.2,12.0,14.8,19.0,349.0
MERCEDES-BENZ,AMG S 63 4MATIC+,FULL-SIZE,4.0,8.0,A9,Z,14.1,8.9,11.8,24.0,275.0
FORD,MUSTANG,SUBCOMPACT,5.0,8.0,M6,X,16.1,9.9,13.3,21.0,311.0
FORD,F-150 4X4,PICKUP TRUCK - STANDARD,2.7,6.0,AS6,X,13.1,10.2,11.8,24.0,276.0
HONDA,PILOT AWD,SUV - SMALL,3.5,6.0,AS9,X,12.4,9.3,11.0,26.0,256.0
PORSCHE,PANAMERA TURBO S,FULL-SIZE,4.8,8.0,AM7,Z,15.3,9.7,12.8,22.0,300.0
TOYOTA,TACOMA 4WD D-CAB OFF-ROAD,PICKUP TRUCK - SMALL,3.5,6.0,M6,X,13.8,11.7,12.9,22.0,300.0
HYUNDAI,ELANTRA GT,MID-SIZE,2.0,4.0,AS6,X,9.7,7.2,8.6,33.0,198.0
NISSAN,PATHFINDER 4WD PLATINUM,SUV - SMALL,3.5,6.0,AV,X,12.7,9.0,11.0,26.0,258.0
FORD,EDGE,SUV - SMALL,2.0,4.0,AS6,X,11.5,7.8,9.8,29.0,231.0
NISSAN,ARMADA 4WD,SUV - STANDARD,5.6,8.0,AS7,X,17.5,12.8,15.4,18.0,362.0
HYUNDAI,ELANTRA,MID-SIZE,2.0,4.0,M6,X,9.1,6.6,8.0,35.0,187.0
PORSCHE,911 CARRERA S,MINICOMPACT,3.8,6.0,M7,Z,12.6,8.6,10.8,26.0,248.0
TOYOTA,RAV4 HYBRID AWD,SUV - SMALL,2.5,4.0,AV6,X,5.8,6.3,6.0,47.0,140.0
LEXUS,RX 450H L AWD,SUV - STANDARD,3.5,6.0,AV6,Z,8.1,8.4,8.1,35.0,190.0
JAGUAR,F-TYPE S CONVERTIBLE AWD,TWO-SEATER,3.0,6.0,AS8,Z,13.0,9.2,11.3,25.0,265.0
GMC,YUKON XL FFV,SUV - STANDARD,5.3,8.0,A6,E,20.0,13.5,17.1,17.0,284.0
NISSAN,SENTRA (TURBO),MID-SIZE,1.6,4.0,M6,Z,9.1,7.3,8.3,34.0,195.0
JEEP,RENEGADE FFV,SUV - SMALL,2.4,4.0,A9,E,14.2,9.9,12.2,23.0,201.0
CHRYSLER,200 CONVERTIBLE FFV,COMPACT,3.6,6.0,A6,E,17.0,11.2,14.4,20.0,230.0
MAZDA,MAZDA6 (SIL),MID-SIZE,2.5,4.0,M6,X,9.4,6.4,8.1,35.0,188.0
HYUNDAI,IONIQ,FULL-SIZE,1.6,4.0,AM6,X,4.3,4.4,4.3,66.0,102.0
FORD,FUSION,MID-SIZE,2.0,4.0,AS6,X,11.2,7.6,9.6,29.0,225.0
BMW,228I,SUBCOMPACT,2.0,4.0,M6,Z,10.7,7.0,9.0,31.0,211.0
CHEVROLET,SONIC 5,STATION WAGON - SMALL,1.4,4.0,AS6,X,8.8,6.6,7.8,36.0,184.0
MINI,COOPER COUNTRYMAN,MID-SIZE,1.5,3.0,M6,Z,9.6,7.0,8.4,34.0,197.0
LINCOLN,MKS AWD,FULL-SIZE,3.7,6.0,AS6,X,13.1,9.0,11.2,25.0,258.0
PORSCHE,CAYMAN GT4,TWO-SEATER,3.8,6.0,M6,Z,13.3,10.1,11.8,24.0,277.0
JAGUAR,F-TYPE S COUPE AWD,TWO-SEATER,3.0,6.0,AS8,Z,13.0,9.1,11.3,25.0,264.0
NISSAN,VERSA,COMPACT,1.6,4.0,M5,X,8.6,6.5,7.7,37.0,177.0
MERCEDES-BENZ,C 300 4MATIC WAGON,STATION WAGON - MID-SIZE,2.0,4.0,A9,Z,10.7,8.0,9.5,30.0,222.0
KIA,RONDO,STATION WAGON - MID-SIZE,2.0,4.0,AS6,X,10.6,7.6,9.3,30.0,214.0
BMW,M6 COUPE,COMPACT,4.4,8.0,M6,Z,16.1,10.8,13.7,21.0,315.0
PORSCHE,911 CARRERA GTS,MINICOMPACT,3.8,6.0,M7,Z,12.9,9.0,11.2,25.0,258.0
PORSCHE,PANAMERA 4S EXECUTIVE,FULL-SIZE,3.0,6.0,AM7,Z,13.7,8.9,11.5,25.0,264.0
GMC,SIERRA 4WD AT4,PICKUP TRUCK - STANDARD,5.3,8.0,A6,X,16.7,13.1,15.1,19.0,354.0
BMW,428I XDRIVE GRAN COUPE,COMPACT,2.0,4.0,AS8,Z,10.6,7.2,9.1,31.0,209.0
MINI,COOPER COUNTRYMAN,COMPACT,1.6,4.0,AS6,Z,9.4,7.9,8.7,32.0,200.0
CADILLAC,CTS AWD,MID-SIZE,3.6,6.0,AS8,X,12.2,8.5,10.5,27.0,247.0
CHEVROLET,SILVERADO 4WD CUSTOM TRAIL BOSS,PICKUP TRUCK - STANDARD,6.2,8.0,A10,Z,16.8,13.3,15.2,19.0,357.0
BUICK,ENCORE GX AWD,SUV - SMALL,1.3,3.0,A9,X,9.0,8.0,8.5,33.0,199.0
FIAT,500L TURBO,STATION WAGON - SMALL,1.4,4.0,M6,X,9.3,7.2,8.4,34.0,193.0
CADILLAC,CT5-V AWD,MID-SIZE,3.0,6.0,AS10,Z,13.8,9.4,11.8,24.0,276.0
GMC,SIERRA FFV,PICKUP TRUCK - STANDARD,5.3,8.0,A6,X,16.0,12.6,14.4,20.0,339.0
AUDI,A5 CABRIOLET QUATTRO,SUBCOMPACT,12.0,4.0,AS7,Z,11.5,8.1,10.0,28.0,220.0
BMW,230I XDRIVE COUPE,SUBCOMPACT,2.0,4.0,AS8,Z,9.9,7.1,8.6,33.0,202.0
VOLKSWAGEN,CC 4MOTION,COMPACT,3.6,6.0,AS6,Z,13.9,9.3,11.8,24.0,271.0
PORSCHE,911 CARRERA 4,MINICOMPACT,3.4,6.0,AM7,Z,11.8,8.5,10.3,27.0,237.0
KIA,SEDONA SXL,MINIVAN,3.3,6.0,AS6,X,14.2,10.5,12.5,23.0,288.0
BMW,M4 CABRIOLET,SUBCOMPACT,3.0,6.0,AM7,Z,14.5,10.5,12.7,22.0,299.0
AUDI,A5 QUATTRO,SUBCOMPACT,2.0,4.0,AS8,Z,11.5,8.1,10.0,28.0,230.0
MINI,JOHN COOPER WORKS CONVERTIBLE,MINICOMPACT,1.6,4.0,AS6,Z,9.2,6.8,8.1,35.0,186.0
VOLKSWAGEN,GOLF WAGON,STATION WAGON - SMALL,2.5,5.0,A6,X,11.0,7.7,9.5,30.0,218.0
